0,0,499,12
1,0,196,3
2,0,107,1
3,0,245,17
4,0,485,9
5,0,140,9
6,0,230,6
7,0,19,9
8,1,404,7
9,1,354,4
10,1,593,7
11,1,426,11
12,1,423,2
13,1,330,13
14,1,323,8
15,1,443,1
16,2,530,16
17,2,169,6
18,2,228,5
19,2,112,17
20,2,57,16
21,2,243,4
22,2,44,11
23,2,105,2
24,3,526,10
25,3,62,12
26,3,363,19
27,3,211,12
28,3,185,7
29,3,51,17
30,3,121,7
31,3,586,13
32,4,596,6
33,4,543,6
34,4,459,4
35,4,94,8
36,4,163,10
37,4,215,5
38,4,135,5
39,4,78,12
40,5,62,14
41,5,542,18
42,5,206,17
43,5,393,1
44,5,141,4
45,5,219,4
46,5,451,4
47,5,522,13
48,6,365,4
49,6,215,10
50,6,151,17
51,6,140,13
52,6,86,10
53,6,114,3
54,6,409,5
55,6,221,6
56,7,183,4
57,7,107,19
58,7,519,2
59,7,550,10
60,7,82,15
61,7,380,8
62,7,261,6
63,7,459,4
64,8,382,15
65,8,583,11
66,8,344,6
67,8,133,16
68,8,405,19
69,8,400,4
70,8,565,7
71,8,599,19
72,9,494,12
73,9,25,7
74,9,202,11
75,9,58,16
76,9,477,4
77,9,53,10
78,9,528,1
79,9,571,5
80,10,222,15
81,10,491,17
82,10,441,8
83,10,248,1
84,10,597,1
85,10,514,15
86,10,406,17
87,10,260,12
88,11,270,10
89,11,140,1
90,11,17,15
91,11,321,17
92,11,147,5
93,11,381,14
94,11,450,9
95,11,268,13
96,12,403,10
97,12,324,10
98,12,434,7
99,12,266,7
100,12,381,17
101,12,5,9
102,12,308,11
103,12,183,16
104,13,435,13
105,13,39,5
106,13,83,13
107,13,562,18
108,13,84,10
109,13,542,1
110,13,382,4
111,13,23,4
112,14,242,2
113,14,247,19
114,14,284,19
115,14,234,18
116,14,14,18
117,14,417,8
118,14,31,12
119,14,378,11
120,15,302,4
121,15,364,14
122,15,533,15
123,15,355,15
124,15,220,19
125,15,301,14
126,15,131,16
127,15,344,4
128,16,65,16
129,16,402,12
130,16,48,13
131,16,78,13
132,16,136,11
133,16,111,12
134,16,87,17
135,16,136,10
136,17,450,8
137,17,89,14
138,17,516,8
139,17,516,10
140,17,553,9
141,17,315,8
142,17,392,19
143,17,301,1
144,18,566,19
145,18,46,1
146,18,152,3
147,18,562,17
